fix             log_frcs all print ${tsamp} "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file ${folder}/lmp${L}.forces screen no
fix             log_frcs all print 10 "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file ${folder}/lmp${L}.forces screen no
fix             log_frcs all print 10 "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file L170_T300_Ns100000_Neq25000_Nrun1000000_ts10_td1000/lmp${L}.forces screen no
fix             log_frcs all print 10 "${fxh} ${fyh} ${fzh} ${fxt} ${fyt} ${fzt} ${xh} ${xt}" file L170_T300_Ns100000_Neq25000_Nrun1000000_ts10_td1000/lmp170.forces screen no
run             ${Nrun}
run             1000000
Per MPI rank memory allocation (min/avg/max) = 18.15 | 18.39 | 18.62 Mbytes
Step Temp PotEng 
  125000    303.10215   0.82117648 
  125010     314.2826  -0.02303984 
  125020    308.36041   0.46459097 
  125030    304.99186   0.81523251 
  125040    294.34525    1.8489646 
  125050    308.17461    1.0716493 
  125060    299.36632    1.4588745 
  125070    302.92231    1.0897041 
  125080    308.01129   0.31741784 
  125090    294.38853    1.4478728 
  125100    302.72684   0.60017153 
  125110    303.74375 -0.008991291 
  125120    294.41683     1.015986 
  125130    293.50029   0.54838864 
  125140    299.60393   0.22453777 
  125150    292.97997   0.63692981 
  125160    301.44445  -0.36854273 
  125170    300.38491  -0.18496565 
  125180    291.41211  0.074968093 
  125190    291.99614  -0.43844951 
  125200    299.27982   -1.0831256 
  125210     283.7489   0.11748263 
  125220    294.46362    -0.937172 
  125230    295.12114   -1.1530771 
  125240    298.34614   -2.1569411 
  125250    288.18131  -0.99228203 
  125260    286.30733  -0.99080205 
  125270    283.98561  -0.87173722 
  125280    280.58615  -0.88017893 
  125290    283.70798   -1.1980067 
  125300    272.47113  -0.62451371 
  125310    279.63344    -1.486419 
  125320     286.8863   -1.8174199 
  125330    282.65351   -1.4840446 
  125340    279.49418  -0.79888413 
  125350    279.98164    -1.087175 
  125360    279.17626  -0.60484904 
  125370    294.74935   -2.0018481 
  125380    276.32224  -0.66303642 
  125390    284.57867   -0.8662626 
  125400    277.24352  -0.23192818 
  125410    286.45559   -1.6976981 
  125420    291.74377   -1.6945513 
  125430    285.54034  -0.62845502 
  125440    296.12302   -1.3589226 
  125450    281.83098 -0.096619884 
  125460    279.24234   0.57323306 
  125470    296.84411   -1.0242542 
  125480    297.41391   -0.5791611 
  125490    278.57062   0.85225557 
  125500    285.29881   0.70093126 
